
=== BENCHMARK NATIVO A 2026-06-26 09:38:55 ===
NATIVE-GOAL A (+0.978,+0.542) send=sent
t=  0.0 NATIVO pos=(+0.49,+0.21) yaw= -35.3 d=0.59 spd=0.00 c0=2.35 nobs=65 col=0
t=  0.1 NATIVO pos=(+0.49,+0.22) yaw= -35.4 d=0.59 spd=0.03 c0=2.36 nobs=65 col=0
t=  0.3 NATIVO pos=(+0.48,+0.21) yaw= -35.4 d=0.59 spd=0.00 c0=2.35 nobs=65 col=0
t=  0.4 NATIVO pos=(+0.48,+0.21) yaw= -35.3 d=0.59 spd=0.00 c0=1.94 nobs=69 col=0
t=  0.5 NATIVO pos=(+0.48,+0.21) yaw= -34.9 d=0.59 spd=0.00 c0=1.94 nobs=69 col=0
t=  0.7 NATIVO pos=(+0.49,+0.23) yaw= -32.5 d=0.57 spd=0.03 c0=1.95 nobs=69 col=0
t=  0.8 NATIVO pos=(+0.50,+0.28) yaw= -28.7 d=0.55 spd=0.09 c0=1.97 nobs=69 col=0
t=  0.9 NATIVO pos=(+0.49,+0.29) yaw= -26.4 d=0.55 spd=0.11 c0=2.50 nobs=62 col=0
t=  1.0 NATIVO pos=(+0.49,+0.28) yaw= -23.0 d=0.55 spd=0.09 c0=2.50 nobs=62 col=0
t=  1.2 NATIVO pos=(+0.49,+0.26) yaw= -19.6 d=0.56 spd=0.07 c0=2.50 nobs=62 col=0
t=  1.3 NATIVO pos=(+0.49,+0.23) yaw= -15.3 d=0.58 spd=0.02 c0=2.50 nobs=53 col=0
t=  1.4 NATIVO pos=(+0.51,+0.20) yaw= -10.5 d=0.58 spd=0.06 c0=2.50 nobs=56 col=0
t=  1.5 NATIVO pos=(+0.51,+0.17) yaw=  +1.6 d=0.59 spd=0.15 c0=2.50 nobs=56 col=0
t=  1.7 NATIVO pos=(+0.51,+0.17) yaw=  +5.9 d=0.59 spd=0.16 c0=2.50 nobs=56 col=0
t=  1.8 NATIVO pos=(+0.48,+0.21) yaw= +12.6 d=0.60 spd=0.10 c0=2.50 nobs=50 col=0
t=  1.9 NATIVO pos=(+0.46,+0.23) yaw= +14.2 d=0.61 spd=0.07 c0=2.50 nobs=50 col=0
t=  2.1 NATIVO pos=(+0.44,+0.23) yaw= +15.6 d=0.62 spd=0.06 c0=2.50 nobs=50 col=0
t=  2.2 NATIVO pos=(+0.44,+0.23) yaw= +16.8 d=0.62 spd=0.10 c0=2.50 nobs=50 col=0
t=  2.3 NATIVO pos=(+0.44,+0.22) yaw= +18.2 d=0.62 spd=0.12 c0=2.50 nobs=73 col=0
t=  2.4 NATIVO pos=(+0.48,+0.19) yaw= +23.5 d=0.61 spd=0.05 c0=2.50 nobs=77 col=0
t=  2.5 NATIVO pos=(+0.50,+0.18) yaw= +27.8 d=0.60 spd=0.05 c0=2.50 nobs=77 col=0
t=  2.7 NATIVO pos=(+0.51,+0.18) yaw= +31.3 d=0.59 spd=0.09 c0=2.50 nobs=77 col=0
t=  2.8 NATIVO pos=(+0.50,+0.21) yaw= +32.6 d=0.59 spd=0.08 c0=2.50 nobs=84 col=0
t=  2.9 NATIVO pos=(+0.49,+0.21) yaw= +30.4 d=0.59 spd=0.08 c0=2.50 nobs=84 col=0
t=  3.0 NATIVO pos=(+0.50,+0.21) yaw= +30.2 d=0.58 spd=0.07 c0=2.50 nobs=84 col=0 STALL
t=  3.2 NATIVO pos=(+0.50,+0.22) yaw= +32.3 d=0.58 spd=0.05 c0=2.50 nobs=79 col=0 STALL
NATIVE-CONTACT #1 pos=(+0.50,+0.24) legtau=33.0
t=  3.3 NATIVO pos=(+0.50,+0.24) yaw= +34.9 d=0.57 spd=0.08 c0=2.50 nobs=79 col=1 STALL
t=  3.4 NATIVO pos=(+0.50,+0.29) yaw= +33.6 d=0.54 spd=0.14 c0=2.50 nobs=79 col=1 STALL
t=  3.6 NATIVO pos=(+0.53,+0.31) yaw= +30.3 d=0.51 spd=0.14 c0=2.50 nobs=79 col=1
t=  3.7 NATIVO pos=(+0.56,+0.32) yaw= +27.0 d=0.47 spd=0.16 c0=2.50 nobs=73 col=1
t=  3.8 NATIVO pos=(+0.65,+0.31) yaw= +24.2 d=0.40 spd=0.24 c0=2.50 nobs=74 col=1
t=  3.9 NATIVO pos=(+0.69,+0.29) yaw= +26.3 d=0.38 spd=0.26 c0=2.50 nobs=74 col=1
NATIVE-REACHED A t=4.1s path=0.56m straight=0.59m eff=1.06 ncol=1 c0min=1.94
FIN

=== BENCHMARK NATIVO B 2026-06-26 09:43:53 ===
NATIVE-GOAL B (-4.713,+2.844) send=sent
t=  0.0 NATIVO pos=(+1.04,+0.57) yaw=-119.4 d=6.19 spd=0.00 c0=2.50 nobs=90 col=0
t=  0.1 NATIVO pos=(+1.04,+0.58) yaw=-119.4 d=6.19 spd=0.04 c0=2.50 nobs=75 col=0
t=  0.3 NATIVO pos=(+1.04,+0.57) yaw=-119.9 d=6.19 spd=0.01 c0=2.50 nobs=75 col=0
t=  0.4 NATIVO pos=(+1.05,+0.57) yaw=-121.7 d=6.20 spd=0.02 c0=2.50 nobs=75 col=0
t=  0.5 NATIVO pos=(+1.06,+0.58) yaw=-123.8 d=6.20 spd=0.03 c0=2.50 nobs=93 col=0
t=  0.7 NATIVO pos=(+1.04,+0.61) yaw=-132.3 d=6.17 spd=0.06 c0=2.50 nobs=98 col=0
